mesh_code,daytime_population
533925764,4367
533925771,20912
533925772,6195
533925773,9303
533925774,2966
533925781,1877
533925782,1221
533925783,1353
533925784,1180
533925791,2157
533925792,2435
533925793,1683
533925794,2225
533925801,805
533925802,910
533925803,1218
533925804,952
533925811,649
533925812,727
533925813,716
533925814,309
533925821,856
533925822,2735
533925823,927
533925824,5841
533925831,2359
533925832,409
533925833,12196
533925834,569
533925841,176
533925842,8099
533925843,941
533925844,1394
533925851,1707
533925852,2674
533925853,1184
533925854,1691
533925861,860
533925862,763
533925863,5243
533925864,1156
533925871,1214
533925872,4297
533925873,1044
533925874,2357
533925881,2088
533925882,1512
533925883,2034
533925884,2033
533925891,1344
533925892,935
533925893,314
533925894,1528
533925901,1044
533925902,892
533925903,646
533925904,754
533925911,2885
533925912,2022
533925913,3615
533925914,3034
533925921,2651
533925922,14913
533925923,1461
533925924,2793
533925931,1688
533925932,237
533925933,1470
533925934,491
533925941,1563
533925942,642
533925943,769
533925944,1185
533925951,241
533925952,1610
533925953,760
533925954,1895
533925961,1596
533925962,700
533925963,1181
533925964,159
533925971,2383
533925972,1448
533925973,963
533925974,2232
533925981,1532
533925982,2334
533925983,1800
533925984,1209
533925991,1076
533925992,5225
533925993,3193
533925994,3338
533926101,9
533926102,79
533926103,991
533926104,189
533926114,140
533926121,4
533926122,81
533926124,105
533926131,9
533926201,531
533926202,722
533926203,829
533926204,3
533926211,15
533926212,2012
533926214,3
533926221,107
533926222,236
533926223,350
533926224,754
533926233,160
533926301,89
533926302,248
533926303,660
533926304,57
533926312,23
533926313,1784
533926314,64
533926321,330
533926322,100
533926334,22
533926401,1945
533926402,633
533926403,1169
533926404,863
533926411,1109
533926412,207
533926414,407
533926423,462
533926431,2150
533926432,209
533926433,1353
533926434,433
533926501,12
533926502,12
533926503,238
533926504,440
533926511,208
533926512,3389
533926513,64
533926521,186
533926524,17692
533926531,4380
533926533,23
533926601,4530
533926602,63
533926603,3542
533926604,52
533926622,15036
533926623,250
533926624,481
533926631,998
533926701,782
533926713,499
533926721,1128
533926722,151
533926801,0
533926802,1109
533926803,885
533926804,645
533926811,1998
533926812,29
533926813,1402
533926814,169
533926901,245
533926902,2475
533926903,1324
533926904,3035
533926911,107
533926912,39
533926913,529
533926914,691
533926921,216
533926922,109
533926923,1390
533926924,930
533934032,129
533934034,915
533934041,294
533934042,405
533934043,941
533934044,858
533934051,376
533934052,475
533934053,627
533934054,658
533934061,1355
533934062,1869
533934063,1518
533934064,700
533934071,1520
533934072,776
533934073,1751
533934074,1434
533934081,865
533934082,587
533934083,955
533934084,326
533934091,421
533934092,1279
533934093,543
533934094,644
533934132,879
533934134,1937
533934141,421
533934142,158
533934143,731
533934144,632
533934151,369
533934152,700
533934153,529
533934154,764
533934161,191
533934162,252
533934163,553
533934164,310
533934171,548
533934172,680
533934173,578
533934174,542
533934181,1307
533934182,555
533934183,738
533934184,4155
533934191,2056
533934192,4767
533934193,9084
533934194,3250
533934232,2985
533934234,199
533934241,404
533934242,20
533934243,1396
533934244,68
533934251,190
533934252,662
533934253,133
533934254,36
533934261,377
533934262,732
533934263,164
533934264,118
533934271,301
533934272,336
533934273,58
533934274,527
533934281,654
533934282,3601
533934283,156
533934284,1451
533934291,5779
533934292,728
533934293,1098
533934294,951
533934332,757
